"","face_PSC","body_PSC","person_PSC","subj","ROI","hemi"
"185",2.6715,1.5349,3.8052,1,"OFA","Right"
"186",3.0562,2.5215,2.929,1,"OFA","Right"
"187",2.0142,1.4254,1.884,1,"OFA","Right"
"188",0.047278,0.92123,0.32164,1,"OFA","Right"
"189",3.192,2.0648,3.2012,1,"OFA","Right"
"190",2.1445,-0.44651,3.6307,1,"OFA","Right"
"191",5.1642,4.4748,5.4628,1,"OFA","Right"
"192",3.676,1.5059,2.9877,1,"OFA","Right"
"193",3.459,-0.19859,3.113,1,"OFA","Right"
"194",1.3716,-0.26877,1.9872,1,"OFA","Right"
"195",1.3521,0.98474,0.49276,1,"OFA","Right"
"196",-0.075398,-0.2051,-1.9842,1,"OFA","Right"
"197",2.6595,0.16914,2.9679,1,"OFA","Right"
"198",3.9092,1.41,3.6176,1,"OFA","Right"
"199",2.6249,0.66146,1.6618,1,"OFA","Right"
"200",1.5263,-1.785,0.95463,1,"OFA","Right"
"201",1.9966,0.87372,2.8069,1,"OFA","Right"
"202",1.2002,0.48594,1.1753,1,"OFA","Right"
"203",1.829,0.85577,2.3215,1,"OFA","Right"
"204",9.656,4.5443,6.7525,1,"OFA","Right"
"205",2.591,-1.9235,0.99632,1,"OFA","Right"
"206",0.58614,-0.019962,0.73638,1,"OFA","Right"
"207",-0.43512,0.20356,0.10526,1,"OFA","Right"
"208",2.2428,-2.8267,0.12093,1,"OFA","Right"
"209",1.1835,-1.2527,0.34353,1,"OFA","Right"
"210",1.1454,-0.35117,0.83477,1,"OFA","Right"
"211",0.72268,3.1095,3.1925,1,"EBA","Left"
"212",0.78734,4.2604,4.2856,1,"EBA","Left"
"213",-1.3218,1.5099,0.45787,1,"EBA","Left"
"214",-0.042586,1.9627,1.6911,1,"EBA","Left"
"215",-0.048536,1.4132,1.3795,1,"EBA","Left"
"216",-0.26191,1.3299,1.0463,1,"EBA","Left"
"217",-0.49918,1.9838,0.65878,1,"EBA","Left"
"218",0.40753,1.8645,2.4935,1,"EBA","Left"
"219",0.9901,5.1366,5.2826,1,"EBA","Left"
"220",0.40252,1.8785,2.5706,1,"EBA","Left"
"221",0.63002,3.4189,2.4622,1,"EBA","Left"
"222",0.30446,0.94226,1.2658,1,"EBA","Left"
"223",-0.74258,0.99448,1.0336,1,"EBA","Left"
"224",0.41405,0.91707,0.88962,1,"EBA","Left"
"225",0.21018,2.1366,2.521,1,"EBA","Left"
"226",1.0269,0.82378,1.6433,1,"EBA","Left"
"227",0.97979,1.5798,1.9973,1,"EBA","Left"
"228",-0.56955,1.5499,1.6943,1,"EBA","Left"
"229",-0.41233,0.5934,0.19202,1,"EBA","Left"
"230",0.021252,1.8509,0.94355,1,"EBA","Left"
"231",0.29952,1.0661,1.134,1,"EBA","Left"
"232",0.65429,0.38014,1.0864,1,"EBA","Left"
"233",-0.14728,0.87906,1.3432,1,"EBA","Left"
"234",-0.051112,2.5271,1.3535,1,"EBA","Left"
"235",-0.35737,0.25641,-0.54749,1,"EBA","Left"
"236",-0.00031722,1.0508,0.98695,1,"EBA","Left"
"237",1.5181,2.6576,2.7516,1,"EBA","Left"
"238",-0.91754,0.59729,0.085093,1,"EBA","Left"
"239",-0.17825,2.7953,2.2897,1,"EBA","Left"
"240",0.4419,1.7411,1.8086,1,"EBA","Left"
"241",2.1336,4.2089,5.034,1,"EBA","Right"
"242",5.7042,9.2753,10.879,1,"EBA","Right"
"243",3.877,6.54,8.1563,1,"EBA","Right"
"244",0.56387,1.4842,2.0558,1,"EBA","Right"
"245",-1.1785,-0.00036686,-0.47919,1,"EBA","Right"
"246",0.86367,2.4473,3.7193,1,"EBA","Right"
"247",2.2226,1.3351,2.6507,1,"EBA","Right"
"248",0.45177,0.21526,0.43194,1,"EBA","Right"
"249",4.4654,5.7608,6.5519,1,"EBA","Right"
"250",7.1824,11.4162,12.6789,1,"EBA","Right"
"251",1.605,3.4883,3.7659,1,"EBA","Right"
"252",1.1488,1.1989,1.6598,1,"EBA","Right"
"253",0.46482,1.0278,1.6042,1,"EBA","Right"
"254",0.20508,3.0113,2.9954,1,"EBA","Right"
"255",0.47428,0.57495,0.74639,1,"EBA","Right"
"256",0.34157,2.9699,2.4083,1,"EBA","Right"
"257",0.53777,0.70728,1.0368,1,"EBA","Right"
"258",0.56583,2.421,2.6566,1,"EBA","Right"
"259",1.275,5.0406,3.8246,1,"EBA","Right"
"260",-0.078638,2.6941,1.1999,1,"EBA","Right"
"261",-0.088193,0.42637,0.69858,1,"EBA","Right"
"262",-1.2021,0.4426,0.19148,1,"EBA","Right"
"263",-0.30284,0.47703,0.18272,1,"EBA","Right"
"264",-3.3672,0.8598,2.219,1,"EBA","Right"
"265",-0.94872,6.5826,4.9251,1,"EBA","Right"
"266",3.4411,6.714,7.4968,1,"EBA","Right"
"267",2.9561,9.7855,9.5082,1,"EBA","Right"
"268",0.14451,2.1653,1.7835,1,"EBA","Right"
"269",1.7737,2.8079,3.2146,1,"EBA","Right"
"270",-2.5477,0.42638,-1.104,1,"EBA","Right"
"271",4.092,12.0484,7.9508,1,"LO","Left"
"272",3.1091,13.4936,7.8523,1,"LO","Left"
"273",1.2899,6.5815,5.2422,1,"LO","Left"
"274",2.8537,8.3401,5.1796,1,"LO","Left"
"275",2.9625,16.2134,8.3758,1,"LO","Left"
"276",1.6787,6.2404,3.5956,1,"LO","Left"
"277",1.197,6.2501,2.3599,1,"LO","Left"
"278",1.4652,2.8969,1.7792,1,"LO","Left"
"279",2.617,8.9711,4.7794,1,"LO","Left"
"280",1.6868,16.5432,5.9095,1,"LO","Left"
"281",-0.13238,3.1236,0.85391,1,"LO","Left"
"282",0.35428,1.4009,0.9167,1,"LO","Left"
"283",0.71791,4.734,2.7173,1,"LO","Left"
"284",0.43486,5.7462,2.6757,1,"LO","Left"
"285",-0.18329,1.7345,0.70117,1,"LO","Left"
"286",-0.95102,3.144,1.6648,1,"LO","Left"
"287",1.4483,13.4668,6.9499,1,"LO","Left"
"288",1.1747,6.6853,4.0932,1,"LO","Left"
"289",0.33539,-0.87062,-0.615,1,"LO","Left"
"290",0.12366,3.3131,0.94801,1,"LO","Left"
"291",0.31412,5.5648,2.3493,1,"LO","Left"
"292",0.45182,0.87255,0.88868,1,"LO","Left"
"293",0.66801,1.5457,0.47506,1,"LO","Left"
"294",0.70911,1.2049,0.30457,1,"LO","Left"
"295",1.0032,0.9054,0.695,1,"LO","Left"
"296",-0.29124,4.2108,1.5487,1,"LO","Left"
"297",0.63305,0.91353,1.2599,1,"LO","Left"
