"","face_PSC","object_PSC","integratedFO_PSC","subj","ROI","hemi"
"401",0.68739,-0.19868,-0.029212,2,"FBA","Left"
"402",0.16251,-0.92371,1.1595,2,"FBA","Left"
"403",3.276,2.5722,2.1292,2,"FBA","Left"
"404",0.97773,1.1008,0.17883,2,"FBA","Left"
"405",2.2443,1.6899,2.6587,2,"FBA","Left"
"406",0.20667,0.10914,0.30667,2,"FBA","Left"
"407",1.5259,1.5662,0.909,2,"FBA","Left"
"408",0.65812,1.2765,1.3978,2,"FBA","Left"
"409",-0.31169,-0.60551,0.077614,2,"FBA","Left"
"410",2.1637,3.415,3.6817,2,"FBA","Left"
"411",2.8442,3.268,3.2498,2,"FBA","Left"
"412",2.6275,1.1022,1.9823,2,"FBA","Left"
"413",0.68215,0.79187,1.5829,2,"FBA","Left"
"414",-0.065512,-0.30195,1.1419,2,"FBA","Left"
"415",0.85631,-0.31935,0.74889,2,"FBA","Left"
"416",1.3968,1.2066,1.125,2,"FBA","Left"
"417",1.3386,1.0679,0.69909,2,"FBA","Left"
"418",0.34433,0.69573,0.75879,2,"FBA","Left"
"419",2.857,2.1504,1.9357,2,"FBA","Left"
"420",1.3498,1.0922,1.2755,2,"FBA","Left"
"421",1.4557,-0.81354,1.1528,2,"FBA","Right"
"422",1.8955,0.50121,1.7387,2,"FBA","Right"
"423",1.4852,1.6907,1.4646,2,"FBA","Right"
"424",-0.040102,-2.2661,-1.3601,2,"FBA","Right"
"425",0.77239,0.3544,1.4526,2,"FBA","Right"
"426",0.38566,0.81569,-0.022317,2,"FBA","Right"
"427",-1.1566,-1.4497,-0.75658,2,"FBA","Right"
"428",0.3571,-0.1191,1.2473,2,"FBA","Right"
"429",1.1062,1.6754,0.81576,2,"FBA","Right"
"430",0.41206,1.5394,1.3442,2,"FBA","Right"
"431",-0.21584,-0.18908,-0.049283,2,"FBA","Right"
"432",0.041115,-0.14614,-0.05776,2,"FBA","Right"
"433",0.56256,0.68365,0.43063,2,"FBA","Right"
"434",1.3469,-0.03895,0.48679,2,"FBA","Right"
"435",0.77274,0.41259,0.66134,2,"FBA","Right"
"436",1.2736,0.1198,0.74318,2,"FBA","Right"
"437",0.23775,0.76025,0.69213,2,"FBA","Right"
"438",1.6686,0.84792,1.6527,2,"FBA","Right"
"439",0.0059045,0.42592,1.0271,2,"FBA","Right"
"440",-0.40065,-0.50629,0.94709,2,"FBA","Right"
"441",-0.003408,2.0666,1.3826,2,"FBA","Right"
"442",0.16888,0.5116,1.4423,2,"FBA","Right"
"443",-0.76715,-0.14706,0.1634,2,"FBA","Right"
"444",0.47602,-0.37299,0.5015,2,"FBA","Right"
"445",1.1211,0.67054,0.80645,2,"FBA","Right"
"446",0.64264,-0.1626,0.085146,2,"FBA","Right"
"447",1.3955,0.56793,0.86535,2,"FBA","Right"
"448",1.0393,0.85535,1.2378,2,"FBA","Right"
"449",0.70028,-0.59558,0.95747,2,"FBA","Right"
"450",1.241,1.2251,2.704,2,"FBA","Right"
"451",0.30405,4.9857,3.8868,2,"medial_obj","Left"
"452",-0.64664,1.9232,1.9358,2,"medial_obj","Left"
"453",0.6993,4.0055,2.208,2,"medial_obj","Left"
"454",1.5217,2.7623,1.1215,2,"medial_obj","Left"
"455",-1.2778,1.1305,0.26352,2,"medial_obj","Left"
"456",-1.068,1.506,-0.82031,2,"medial_obj","Left"
"457",-1.7664,0.60551,1.8473,2,"medial_obj","Left"
"458",0.47959,3.7969,4.2821,2,"medial_obj","Left"
"459",0.28752,1.1916,1.8981,2,"medial_obj","Left"
"460",1.2001,0.64133,0.8939,2,"medial_obj","Left"
"461",-0.12833,1.4433,1.929,2,"medial_obj","Left"
"462",0.23205,0.42143,0.65015,2,"medial_obj","Left"
"463",-0.56113,0.95424,0.093217,2,"medial_obj","Left"
"464",-0.44833,0.7296,0.4598,2,"medial_obj","Left"
"465",0.79291,0.21941,0.51051,2,"medial_obj","Left"
"466",-0.52777,2.2857,1.2336,2,"medial_obj","Left"
"467",0.70684,0.96694,1.0438,2,"medial_obj","Left"
"468",0.28574,0.038023,-0.10622,2,"medial_obj","Left"
"469",0.7783,0.51818,1.6922,2,"medial_obj","Left"
