"","face_PSC","body_PSC","person_PSC","subj","ROI","hemi"
"3522",-0.75369,-0.18511,-0.39732,15,"FBA","Right"
"3523",0.671,0.19075,0.32392,15,"FBA","Right"
"3524",-0.17567,0.74785,0.68421,15,"FBA","Right"
"3525",-0.85795,-0.69913,-0.16506,15,"FBA","Right"
"3526",0.18593,1.2531,0.62778,15,"FBA","Right"
"3527",0.54946,1.6724,1.2267,15,"FBA","Right"
"3528",1.0401,1.9601,1.6268,15,"FBA","Right"
"3529",0.62381,-0.052865,0.079665,15,"FBA","Right"
"3530",-0.098119,-0.36587,-0.70938,15,"FBA","Right"
"3531",0.62215,0.37176,-0.089622,15,"FBA","Right"
"3532",-0.3619,0.35049,0.53416,15,"FBA","Right"
"3533",-0.4874,-0.062819,-1.1524,15,"FBA","Right"
"3534",0.18848,0.80958,0.6301,15,"FBA","Right"
"3535",0.38913,0.18324,0.87778,15,"FBA","Right"
"3536",-0.36853,0.50481,-0.072305,15,"FBA","Right"
"3537",0.34156,0.98711,0.87692,15,"FBA","Right"
"3538",0.39307,0.55666,0.74605,15,"FBA","Right"
"3539",0.95336,0.51174,1.115,15,"FBA","Right"
"3540",0.52945,1.0278,1.1014,15,"FBA","Right"
"3541",1.3747,1.2043,1.2667,15,"Overlap_ventral","Right"
"3542",5.4337,4.9994,5.7143,15,"Overlap_ventral","Right"
"3543",3.2919,2.7633,3.2911,15,"Overlap_ventral","Right"
"3544",4.369,2.7784,5.1761,15,"Overlap_ventral","Right"
"3545",5.8347,5.5335,6.6974,15,"Overlap_ventral","Right"
"3546",1.8599,1.4386,1.5038,15,"Overlap_ventral","Right"
"3547",2.1814,1.5187,2.1659,15,"Overlap_ventral","Right"
"3548",4.8244,2.7728,4.782,15,"Overlap_ventral","Right"
"3549",1.3589,0.66663,1.004,15,"Overlap_ventral","Right"
"3550",1.9224,1.1036,1.709,15,"Overlap_ventral","Right"
"3551",0.40979,0.35539,0.43777,15,"Overlap_ventral","Right"
"3552",2.1618,2.2579,2.3789,15,"Overlap_ventral","Right"
"3553",2.2524,2.2108,2.6967,15,"Overlap_ventral","Right"
"3554",1.142,1.0389,1.1821,15,"Overlap_ventral","Right"
"3555",2.7074,2.9647,3.9116,15,"Overlap_ventral","Right"
"3556",4.0733,3.9758,4.8515,15,"Overlap_ventral","Right"
"3557",1.0399,0.35159,1.6088,15,"Overlap_ventral","Right"
"3558",3.4668,3.841,5.2146,15,"Overlap_ventral","Right"
"3559",4.669,4.4104,5.2191,15,"Overlap_ventral","Right"
"3560",1.0865,0.50231,1.582,15,"Overlap_ventral","Right"
"3561",4.1628,3.0136,5.553,15,"Overlap_ventral","Right"
"3562",2.3711,1.6112,3.0433,15,"Overlap_ventral","Right"
"3563",2.9764,1.1838,3.7375,15,"Overlap_ventral","Right"
"3564",0.24476,-0.16682,0.75227,15,"Overlap_ventral","Right"
"3565",0.55135,0.31405,0.11054,15,"Overlap_ventral","Right"
"3566",2.7989,1.6926,2.194,15,"Overlap_ventral","Right"
"3567",-0.36241,-0.16932,0.33116,15,"Overlap_ventral","Right"
"3568",0.18579,0.56565,0.66163,15,"Overlap_ventral","Right"
"3569",0.15083,0.98445,1.6022,15,"Overlap_ventral","Right"
"3570",0.8458,1.1074,2.1476,15,"Overlap_ventral","Right"
"3571",2.8267,-1.3489,0.3536,15,"OFA","Left"
"3572",1.6908,-2.5507,-0.94084,15,"OFA","Left"
"3573",1.7255,-0.87302,0.91782,15,"OFA","Left"
"3574",0.80399,-0.69894,0.055203,15,"OFA","Left"
"3575",1.0175,1.0046,0.73236,15,"OFA","Left"
"3576",5.5128,1.77,4.167,15,"OFA","Left"
"3577",2.1543,-0.8646,1.0727,15,"OFA","Left"
"3578",0.74888,-2.4582,-0.37771,15,"OFA","Left"
"3579",2.3339,0.26634,1.757,15,"OFA","Left"
"3580",0.94343,-0.45479,0.53009,15,"OFA","Left"
